02.03.;ee;Hubert Hugo Huko
02.04.;lv;Daila Veronika Dominiks
02.04.;lt;Vydmantas Andriejus Joana Vidmantas Andrius Arvilė
02.04.;ee;Arma Armi Armiida Meida Miida
02.05.;lv;Agate Selga Silga Sinilga
02.05.;lt;Birutė Agota Gaudvinas
02.05.;ee;Aet Agaate Aita Ita Iti
02.06.;lv;Dace Dārta Dora Daris
02.06.;lt;Urtė Rona Povilas Živilė Roneta Dorotėja Dorotas Oksana Paulius Titas Alkis Žyvilė Darata
02.06.;ee;Doora Doris Dorotea Tea Thea
02.07.;lv;Nelda Rihards Ričards Rišards
02.07.;lt;Jomantė Ričardas Vildaugas Vilgirdas Vilgirdė Romualdas
02.07.;ee;Richard Riho Riko Riku
02.08.;lv;Aldona Česlavs
02.08.;lt;Aldona Dromantas Jeronimas Daugvilė Saliamonas Honorata Salys
02.08.;ee;Taalo Tali Talis Talvo
02.09.;lv;Simona Apolonija
02.09.;lt;Algė Joviltas Polė Erika Apolonija Erikas Marijus
02.09.;ee;Mehis Mehto
02.10.;lv;Paulīne Paula Jasmīna
02.10.;lt;Girvydas Vydgailė Gabrielius Elvyra Skolė Skolastika
02.10.;ee;Ella Elle Ellen Elli Ellu
02.11.;lv;Laima Laimdota
02.11.;lt;Algirdė Liucijus Adolfas Evelina Teodora Algirdas
02.11.;ee;Teri Terje
02.12.;lv;Karlīna Līna
02.12.;lt;Deimantas Eulalija Deimantė Mantminas Reginaldas Benediktas
02.12.;ee;Alma Alme Elma Elme Elmi
02.13.;lv;Malda Melita
02.13.;lt;Algaudas Kotryna Ugnė Benignas
02.13.;ee;Eke Ike Iko
02.14.;lv;Valentīns
02.14.;lt;Lijana Saulė Liliana Valius Saulius Kirilas Valentinas
02.14.;ee;Valentin Valjo Valju Valle Vallo Vallot Vallut
02.15.;lv;Alvils Olafs Aloizs Olavs
02.15.;lt;Jurgina Vytis Jovita Girdenė Girdenis Zygfridas Jurgita Jordanas Faustinas
02.15.;ee;Neidi Tiina
02.16.;lv;Jūlija Džuljeta
02.16.;lt;Tautvydė Julijonas Julijona
02.16.;ee;Alda Aldi Miralda Miranda Valda Velda
02.17.;lv;Donats Konstance
02.17.;lt;Aleksas Donata Donatas Viltė Vaišvilas
02.17.;ee;Salmo Väino Väinu
02.18.;lv;Kora Kintija
02.18.;lt;Lengvenis Simas Bernadeta Simeonas Gendrė
02.18.;ee;Karita Karme Karmen Rita
02.19.;lv;Zane Zuzanna
02.19.;lt;Konradas Šarūnas Nida Zuzana
02.19.;ee;Ülla Ülle Ülli Ülve Ülvi
02.20.;lv;Vitauts Smuidra Smuidris
02.20.;lt;Eitvydė Aidas Leonas Visgintas
02.20.;ee;Ardi Hardi Hardo Kardo Meinhard Meino
02.21.;lv;Eleonora Ariadne
02.21.;lt;Kęstutis Feliksas Žemyna Eleonora
02.21.;ee;Aavo Auvo Avo
02.22.;lv;Ārija Rigonda Adrians Adriāna Adrija
02.22.;lt;Elvinas Margarita Gintautė Darvydas
02.22.;ee;Häli Hela Heli Helin Helina Helis
02.23.;lv;Haralds Almants
02.23.;lt;Gantautas Butvilė Severinas Romana Roma
02.23.;ee;Lehar Leho Lehto
02.24.;lv;Diāna Dina Dins
02.24.;lt;Gedmantas Motiejus Goda Demetrija Matas
02.24.;ee;Madi Madis Mäido Maido Maidu Mait Mati Matis Mats Matti Mattias
02.25.;lv;Alma Annemarija
02.25.;lt;Regimantas Rasa Margiris Viktoras
02.25.;ee;Tormi Tuule Tuuli Tuulike
02.26.;lv;Evelīna Aurēlija Mētra
02.26.;lt;Sandra Alius Izabelė Aurimė Aleksandras Jogintas
02.26.;ee;Ingmar Ingo Ingvar Selmar
02.27.;lv;Līvija Līva Andra
02.27.;lt;Fortunatas Mandravė Livija Skirmantė Gabrielius Ginvilas Mandravas
02.27.;ee;Helbe Helve Helvi
02.28.;lv;Skaidrīte Justs Skaidra
02.28.;lt;Romas Žygimantė Vilgardas Romanas Osvaldas
02.28.;ee;Vilmar Vilmer Vilmo
02.29.;lt;Gustis Tolvaldas
02.29.;ee;Ulmi Une
03.01.;lv;Ivars Ilgvars
03.01.;lt;Albinas Tulgaudas Rusnė Antanina Antanė
03.01.;ee;Albin Albo Alvin Armin
03.02.;lv;Lavīze Luīze Laila
03.02.;lt;Elena Marcelinas Dautara Eitautas Simplicijus
03.02.;ee;Virge Virgi Virma Virme Virve Virvi
03.03.;lv;Tālis Tālavs Marts
03.03.;lt;Nonita Tulė Uosis Kunigunda
03.03.;ee;Egle Haili Halliki Helliki
03.04.;lv;Alise Auce Enija
03.04.;lt;Daugvydas Daina Vaclava Kazimieras Kazys Vacė
03.04.;ee;Almar Eimar Elmar Elmer Elmet Elmo
03.05.;lv;Austra Aurora Aurika
03.05.;lt;Olivija Virgilijus Klemensas Giedrė Austra Aurora Liucijus Vydotas
03.05.;ee;Laila Laili Leila Leili
03.06.;lv;Vents Centis Gotfrīds
03.06.;lt;Gerasimas Norvilas Raminta Rožė
03.06.;ee;Tarmo Tarmu
03.07.;lv;Ella Elmīra
03.07.;lt;Laima Adrijus Adrija Adrianas Adriana Felicita Rimtautas Galmantė Tomas
03.07.;ee;Ralf Raul Rolf Rudolf Ruudi Ruut
03.08.;lv;Dagmāra Marga Margita
03.08.;lt;Beata Vydminas Gaudvilė
03.08.;ee;Lepo Viilo Viilup Vilbo
03.09.;lv;Ēvalds
03.09.;lt;Pranė Pranciška Dominykas Žygintas Visgailė Domas
03.09.;ee;Edvin Heido Heivo
03.10.;lv;Silvija Laimrota Liliāna
03.10.;lt;Butgailė Silvija Emilis Geraldas Naubartas
03.10.;ee;Helda Helde Heldi
03.11.;lv;Konstantīns Agita
03.11.;lt;Kostas Gedimtas Vijolė Konstantinas
03.11.;ee;Aigar Ain Ainar Innar Inno
03.12.;lv;Aija Aiva Aivis
03.12.;lt;Darmantė Teofanas Galvirdas
03.12.;ee;Rego Reio
03.13.;lv;Ernests Balvis
03.13.;lt;Vaidilė Kristina Liutauras Teodora Paulina
03.13.;ee;Erni Ernits Erno Ernst
03.14.;lv;Matilde Ulrika
03.14.;lt;Matilda Darmantas Karigailė
03.14.;ee;Malde Maldi Matilde Meta Milda Milde Tilde
03.15.;lv;Amilda Amalda Imalda
03.15.;lt;Raigardas Klemensas Lionginas Tautgintė Tautas Lukrecija Tautginė
03.15.;ee;Valev Valvik Valvo
03.16.;lv;Guntis Guntars Guntris
03.16.;lt;Norvilė Henrika Julijonas Vaidotas Norvaldė
03.16.;ee;Heero Herbert Herbi
03.17.;lv;Ģertrūde Gerda Gerhards
03.17.;lt;Gendvilas Vita Gerda Patrikas Gertrūda Gentvila Varūna
03.17.;ee;Gerda Gertrud Kärdi Kärt Kerli Kert Kertu Ruta Ruuta Truude Truuta
03.18.;lv;Ilona Adelīna
03.18.;lt;Kirilas Eimutis Anzelmas Sibilė Eimutė
03.18.;ee;Edi Eduard Eedi Eedo Eedu
03.19.;lv;Jāzeps Juzefa
03.19.;lt;Juozas Vilys Vilė Juozapas
03.19.;ee;Joosep Joosu
03.20.;lv;Made Irbe
03.20.;lt;Irmgarda Irma Filomenas Tautvilė Žygimantas Irmantas
03.20.;ee;Malve Malvi Malviine
03.21.;lv;Una Unigunde Dzelme Benedikts Benedikta
03.21.;lt;Lingailė Reda Nortautas Mikalojus Benediktas
03.21.;ee;Küllo Külvo Pendo Pent
03.22.;lv;Tamāra Dziedra Gabriels Gabriela
03.22.;lt;Kotryna Gedgaudė Benvenutas Gedgaudas
03.22.;ee;Viktor Viktoria
03.23.;lv;Mirdza Žanete Žanna
03.23.;lt;Galgintas Ūla Alfonsas Vismantė Akvilė
03.23.;ee;Ailo Aksel
03.24.;lv;Kazimirs Izidors
03.24.;lt;Liucija Daumantas Ganvilė Gabrielius Donardas
03.24.;ee;Albe Albi Albina
